School ID,School Name,School Type,City,State,ZIP Code,CPS Perf Level,Safety,Safety Score,Family Involvement,Family Score,Environment,Environment Score,Instruction,Instruction Score,Teachers,Teachers Score,Parent Engage,Parent Engage Score,Parent Env,Parent Env Score,Avg Student Atd,Misconduct Rate,Avg Teacher Atd,ISAT Exceed Math,ISAT Exceed Reading,College Enrollment,Community Area,Community Name,Ward,Police District
610188,Dunne Technology Academy,ES,Chicago,IL,60628,Level 1,Average,46,Average,53,Strong,65,Strong,71,Average,59,Average,49,Average,47,94.60%,22.8,96.40%,24.7,17.2,310,49,ROSELAND,34,22
610352,Durkin Park Elementary School,ES,Chicago,IL,60652,Level 1,Strong,61,Strong,74,Average,57,Average,58,Strong,74,Average,53,Weak,38,95.40%,0.7,95.80%,22,16.3,543,70,ASHBURN,18,8
610254,Dvorak Technology Academy,ES,Chicago,IL,60623,Level 3,Average,46,Weak,22,Strong,66,Strong,69,Very Weak,13,NDA,NDA,NDA,NDA,94.20%,4.4,95.40%,11,10.4,556,29,NORTH LAWNDALE,24,10
609736,Dyett High School,HS,Chicago,IL,60615,Level 3,Weak,27,Very Weak,18,Weak,35,Average,47,Weak,25,NDA,NDA,NDA,NDA,62.50%,24.4,93.50%,,,318,40,WASHINGTON PARK,4,2
610132,Edgar Allan Poe Elementary Classical School,ES,Chicago,IL,60628,Level 1,Very Strong,99,Weak,33,Strong,66,Very Strong,88,Average,41,Strong,55,Average,47,97.60%,0,97.20%,78.8,79.6,192,50,PULLMAN,9,5
609901,Edgebrook Elementary School,ES,Chicago,IL,60646,Level 1,Very Strong,99,Very Strong,99,Average,51,Average,53,Strong,70,Strong,56,Weak,39,96.90%,3.4,96.60%,60.2,56.8,468,12,FOREST GLEN,41,16
610523,Edison Park Elementary School,ES,Chicago,IL,60631,Level 1,Very Strong,95,NDA,NDA,Average,52,Average,49,NDA,NDA,Strong,56,Weak,46,96.10%,6.9,96.60%,27.7,32.6,431,10,NORWOOD PARK,41,16
609819,Edmond Burke Elementary School,ES,Chicago,IL,60615,Level 3,Very Weak,1,NDA,NDA,Very Weak,13,Weak,22,NDA,NDA,Average,48,Average,48,89.30%,82,95.50%,7.9,4.3,244,40,WASHINGTON PARK,3,2
609815,Edward A Bouchet Math & Science Academy Elementary School,ES,Chicago,IL,60649,Level 3,Weak,33,Average,57,Average,55,Average,50,Average,58,Average,50,Average,48,92.90%,28,95.90%,5.6,7.6,783,43,SOUTH SHORE,5,3
610246,Edward Beasley Elementary Magnet Academic Center,ES,Chicago,IL,60609,Level 1,Average,47,NDA,NDA,Weak,34,Average,48,NDA,NDA,Weak,42,Weak,45,95.00%,10.3,94.70%,26.4,21.3,1365,40,WASHINGTON PARK,3,2
609881,Edward C Delano Elementary School,ES,Chicago,IL,60624,Level 2,Weak,38,Strong,64,Strong,66,Average,52,Strong,79,Strong,55,Strong,58,93.40%,20.3,94.70%,6.8,10.9,414,26,WEST GARFIELD PARK,28,11
609862,Edward Coles Elementary Language Academy,ES,Chicago,IL,60617,Level 2,Weak,22,Average,43,Average,40,Average,54,Average,53,Average,50,Average,51,95.10%,24.9,95.00%,16.7,5.7,554,46,SOUTH CHICAGO,7,4
609909,Edward Everett Elementary School,ES,Chicago,IL,60608,Level 2,NDA,,Strong,66,NDA,,NDA,,Average,45,NDA,NDA,NDA,NDA,95.30%,2.4,97.70%,13.6,13.6,321,59,MCKINLEY PARK,11,9
610012,Edward Jenner Elementary Academy of the Arts,ES,Chicago,IL,60610,Level 3,Average,50,Weak,34,Strong,62,Average,41,Weak,26,Average,49,Average,53,88.90%,16,94.80%,8.2,1.3,314,8,NEAR NORTH SIDE,27,18
609904,Edward K Ellington Elementary School,ES,Chicago,IL,60644,Level 2,Weak,30,NDA,NDA,Weak,37,Average,55,NDA,NDA,Average,49,Average,50,93.30%,17.4,97.30%,16.1,8,377,25,AUSTIN,29,15
610006,Edward N Hurley Elementary School,ES,Chicago,IL,60629,Level 1,Strong,77,Average,56,Average,50,Average,49,Average,54,Average,49,Weak,46,95.40%,12.2,94.90%,16.4,11.7,830,65,WEST LAWN,13,8
609735,Edward Tilden Career Community Academy High School,HS,Chicago,IL,60609,Level 2,Weak,34,Average,57,Average,45,Weak,37,Weak,35,Average,51,Average,47,78.40%,13,95.20%,,,461,61,NEW CITY,11,9
610315,Edward White Elementary Career Academy,ES,Chicago,IL,60643,Level 2,Weak,27,NDA,NDA,Average,44,Average,48,NDA,NDA,Average,51,Weak,46,93.80%,31,96.70%,7.4,7.4,138,53,WEST PULLMAN,34,5
609708,Edwin G Foreman High School,HS,Chicago,IL,60641,Level 3,Weak,26,NDA,NDA,Weak,28,Weak,23,NDA,NDA,NDA,NDA,NDA,NDA,84.30%,10.3,94.80%,,,1716,15,PORTAGE PARK,30,16
609913,Elaine O Goodlow Elementary Magnet School,ES,Chicago,IL,60636,Level 3,Average,44,Average,42,Average,52,Average,56,Weak,28,Weak,46,Weak,46,91.60%,47.5,96.00%,9.8,8.6,419,67,WEST ENGLEWOOD,15,7
610233,Elihu Yale Elementary School,ES,Chicago,IL,60621,Level 3,Weak,29,Weak,35,Average,43,Average,50,NDA,NDA,Average,49,Average,47,89.70%,67.2,97.00%,4.5,3.2,182,69,GREATER GRAND CROSSING,6,7
610227,Eli Whitney Elementary School,ES,Chicago,IL,60623,Level 2,Average,44,NDA,NDA,Average,49,Average,53,NDA,NDA,NDA,NDA,NDA,NDA,95.80%,11.6,95.20%,15,9.4,1133,30,SOUTH LAWNDALE,22,10
610195,Elizabeth H Sutherland Elementary School,ES,Chicago,IL,60643,Level 2,Very Strong,86,NDA,NDA,Strong,64,Average,59,NDA,NDA,Average,50,Weak,40,95.60%,6.8,96.20%,37.2,35.7,762,72,BEVERLY,19,22
610119,Elizabeth Peabody Elementary School,ES,Chicago,IL,60622,Level 2,Average,51,Average,58,Average,50,Strong,61,Average,55,Average,52,Average,49,95.20%,7.6,97.00%,9.1,5.9,289,24,WEST TOWN,27,13
609852,Eliza Chappell Elementary School,ES,Chicago,IL,60625,Level 1,Strong,70,Strong,65,Average,53,Average,51,Average,48,Average,50,Average,52,95.10%,2.9,96.70%,19.6,17.6,451,4,LINCOLN SQUARE,47,20
610235,Ella Flagg Young Elementary School,ES,Chicago,IL,60651,Level 2,Weak,31,NDA,NDA,Average,44,Average,50,NDA,NDA,Weak,44,Average,47,94.30%,3,95.40%,9.1,8,1111,25,AUSTIN,29,25
609682,Ellen H Richards Career Academy High School,HS,Chicago,IL,60609,Level 2,Weak,30,Weak,23,Weak,32,Very Weak,19,Weak,34,Weak,43,Average,47,90.60%,17.3,95.70%,,,473,61,NEW CITY,16,9
610073,Ellen Mitchell Elementary School,ES,Chicago,IL,60612,Level 1,Very Strong,99,Strong,64,Very Strong,95,Very Strong,95,Very Strong,90,Strong,56,Strong,54,95.50%,12.2,97.70%,30.1,27.3,344,24,WEST TOWN,26,13
609712,Emil G Hirsch Metropolitan High School,HS,Chicago,IL,60619,Level 3,Very Weak,13,Average,46,Weak,28,Weak,28,Average,50,NDA,NDA,NDA,NDA,84.80%,47.1,95.40%,,,458,69,GREATER GRAND CROSSING,8,6
609973,Emiliano Zapata Elementary Academy,ES,Chicago,IL,60623,Level 2,Strong,60,Average,52,Average,43,Average,42,Strong,79,Weak,46,Average,49,96.60%,2.8,96.80%,21.6,13.7,988,30,SOUTH LAWNDALE,22,10
610065,Emmett Louis Till Math and Science Academy,ES,Chicago,IL,60637,Level 3,Weak,31,Weak,31,Average,47,Average,40,Average,42,Average,47,Average,48,88.00%,95.7,93.30%,3.2,3.5,471,42,WOODLAWN,20,3
609916,Enrico Fermi Elementary School,ES,Chicago,IL,60637,Level 3,Weak,30,Average,42,Strong,65,Strong,63,Average,47,NDA,NDA,NDA,NDA,89.90%,101.2,95.40%,0.6,2.6,238,43,SOUTH SHORE,5,3
610203,Enrico Tonti Elementary School,ES,Chicago,IL,60629,Level 2,NDA,,Average,44,NDA,,NDA,,Average,54,Average,49,Average,49,95.80%,2.1,97.20%,17.5,13,1021,63,GAGE PARK,14,8
610543,Eric Solorio Academy High School,HS,Chicago,IL,60632,Not Enough Data,Strong,67,Average,54,Average,53,Strong,63,Strong,64,Average,53,Strong,56,92.20%,3,0.00%,,,581,63,GAGE PARK,14,8
610137,Ernst Prussing Elementary School,ES,Chicago,IL,60630,Level 2,Strong,71,NDA,NDA,Average,49,Average,42,NDA,NDA,Weak,43,Weak,44,95.40%,23.4,96.00%,31.4,24.5,672,15,PORTAGE PARK,45,16
609908,Esmond Elementary School,ES,Chicago,IL,60643,Level 2,Weak,36,NDA,NDA,Average,49,Average,43,NDA,NDA,Average,49,Average,50,92.90%,34,95.70%,8.9,7.7,342,75,MORGAN PARK,19,22
609918,Eugene Field Elementary School,ES,Chicago,IL,60626,Level 2,Average,42,Weak,33,Average,47,Weak,37,Very Weak,8,Weak,44,Average,53,96.80%,10,96.70%,9.8,7.9,375,1,ROGERS PARK,49,24
609874,Everett McKinley Dirksen Elementary School,ES,Chicago,IL,60656,Level 1,Average,44,NDA,NDA,Very Weak,12,Very Weak,1,NDA,NDA,NDA,NDA,NDA,NDA,95.90%,2.7,96.20%,32.8,25.5,786,76,OHARE,41,16
610319,Evergreen Academy Middle School,MS,Chicago,IL,60609,Level 2,Strong,60,Average,58,Average,47,Average,44,Strong,65,Weak,43,Average,48,96.10%,5.5,97.40%,11.5,9.3,389,59,MCKINLEY PARK,11,9
610057,Fairfield Elementary Academy,ES,Chicago,IL,60629,Level 3,Weak,31,Weak,24,Average,41,Weak,34,Weak,25,NDA,NDA,NDA,NDA,93.40%,43.4,93.30%,4.1,4.3,604,66,CHICAGO LAWN,15,8
610541,Federico Garcia Lorca Elementary School,ES,Chicago,IL,60618,Not Enough Data,Average,53,Average,58,Average,53,Average,58,Very Strong,82,Average,51,Strong,59,96.80%,43.8,0.00%,8.9,7.5,860,21,AVONDALE,30,17
610120,Ferdinand Peck Elementary School,ES,Chicago,IL,60629,Level 1,Average,51,Average,43,Average,43,Average,47,Weak,37,Weak,44,Weak,43,96.30%,1.2,97.20%,23.2,13.8,1560,62,WEST ELSDON,13,8
609917,Fernwood Elementary School,ES,Chicago,IL,60628,Level 3,Weak,29,Weak,37,Very Weak,17,Average,43,Average,50,Average,48,Average,53,93.40%,29,96.10%,12.4,7.8,344,73,WASHINGTON HEIGHTS,34,22
610258,Florence B Price Elementary School,ES,Chicago,IL,60653,Level 3,Weak,20,NDA,NDA,Weak,37,Average,46,NDA,NDA,Weak,46,Average,47,90.00%,156.6,95.20%,0,0.7,112,39,KENWOOD,4,2
610096,Florence Nightingale Elementary School,ES,Chicago,IL,60632,Level 2,Weak,35,Average,54,Average,40,Average,48,Strong,72,Average,48,Average,48,95.60%,9.4,95.80%,11.3,8.2,1382,63,GAGE PARK,14,9
609924,Fort Dearborn Elementary School,ES,Chicago,IL,60620,Level 2,Weak,34,NDA,NDA,Strong,61,Strong,71,NDA,NDA,Average,47,Average,50,93.40%,24.5,95.90%,25.2,14.1,478,73,WASHINGTON HEIGHTS,21,22
609927,Foster Park Elementary School,ES,Chicago,IL,60620,Level 3,Very Weak,11,Average,41,Weak,20,Weak,22,Average,46,Weak,46,Average,48,93.70%,33.6,94.70%,8,5.7,418,71,AUBURN GRESHAM,18,6
610215,Francisco I Madero Middle School,MS,Chicago,IL,60623,Level 2,Average,49,Weak,32,Average,48,Average,47,Weak,34,Average,47,Average,52,95.10%,7.1,97.00%,15.1,4.9,314,30,SOUTH LAWNDALE,22,10
610067,Francis M McKay Elementary School,ES,Chicago,IL,60629,Level 3,Weak,23,Average,48,Weak,37,Average,54,Strong,61,Average,48,Average,51,93.50%,9.1,95.10%,5.7,5.7,891,66,CHICAGO LAWN,18,8
610114,Francis Parkman Elementary School,ES,Chicago,IL,60609,Level 3,Weak,38,Weak,25,Average,45,Weak,39,Weak,28,NDA,NDA,NDA,NDA,90.60%,20.7,95.30%,4.6,3.1,224,37,FULLER PARK,3,9
610020,Francis Scott Key Elementary School,ES,Chicago,IL,60644,Level 2,Weak,37,NDA,NDA,Average,49,Strong,64,NDA,NDA,Weak,44,Weak,45,91.90%,39.6,94.00%,11.3,5.9,301,25,AUSTIN,29,15
610112,Francis W Parker Elementary Community Academy,ES,Chicago,IL,60621,Level 2,Weak,30,NDA,NDA,Average,53,Average,57,NDA,NDA,Average,48,Average,51,91.90%,39,94.90%,8.4,6.5,808,68,ENGLEWOOD,6,7
609800,Frank I Bennett Elementary School,ES,Chicago,IL,60628,Level 3,Average,46,Average,46,Average,55,Strong,66,Average,56,Average,47,Weak,45,92.50%,6.5,95.90%,13.7,8.4,504,49,ROSELAND,9,5
609939,Frank L Gillespie Elementary School,ES,Chicago,IL,60619,Level 2,Weak,27,NDA,NDA,Weak,30,Average,45,NDA,NDA,NDA,NDA,NDA,NDA,91.90%,2.1,96.30%,7.6,5.6,609,49,ROSELAND,6,6
609926,Franklin Elementary Fine Arts Center,ES,Chicago,IL,60610,Level 1,Very Strong,87,NDA,NDA,Strong,60,Average,55,NDA,NDA,Strong,58,Average,48,95.90%,5.6,95.30%,55.1,50.2,363,8,NEAR NORTH SIDE,43,18
609958,Frank W Gunsaulus Elementary Scholastic Academy,ES,Chicago,IL,60632,Level 1,Average,46,Weak,38,Weak,30,Average,45,Very Weak,14,Average,49,Average,48,96.60%,87.3,96.00%,24,18.1,867,58,BRIGHTON PARK,14,9
610144,Frank W Reilly Elementary School,ES,Chicago,IL,60618,Level 2,Average,48,NDA,NDA,Weak,33,Weak,34,NDA,NDA,Average,48,Average,51,97.00%,8.7,96.70%,15.5,9.8,1195,21,AVONDALE,35,17
610165,Franz Peter Schubert Elementary School,ES,Chicago,IL,60639,Level 3,NDA,,Weak,31,NDA,,NDA,,Weak,26,Average,47,Average,49,95.80%,2.1,97.00%,10.6,10.2,949,19,BELMONT CRAGIN,31,25
610503,Frazier Prospective IB Magnet Elementary School,ES,Chicago,IL,60624,Level 1,Strong,60,Average,55,Very Strong,84,Strong,72,Average,55,Strong,66,Strong,65,96.80%,7.2,96.60%,37.6,25.4,220,29,NORTH LAWNDALE,24,11
609854,Frederic Chopin Elementary School,ES,Chicago,IL,60622,Level 1,Very Strong,86,Very Strong,99,Very Strong,99,Very Strong,99,Very Strong,99,Average,49,Average,49,96.90%,1.7,96.00%,57.6,47.6,269,24,WEST TOWN,1,13
610245,Frederick A Douglass Academy High School,HS,Chicago,IL,60644,Level 3,Average,44,NDA,NDA,Weak,39,Weak,37,NDA,NDA,Average,50,Weak,44,79.20%,28,94.70%,,,354,25,AUSTIN,29,15
609930,Frederick Funston Elementary School,ES,Chicago,IL,60647,Level 3,Very Weak,16,NDA,NDA,Very Weak,14,Very Weak,16,NDA,NDA,Weak,40,Average,47,94.70%,16.8,95.40%,12.2,5.8,619,22,LOGAN SQUARE,26,25
610163,Frederick Stock Elementary School,ES,Chicago,IL,60631,NDA,NDA,,Very Strong,99,NDA,,NDA,,Very Strong,81,Strong,69,Strong,63,72.40%,0,95.70%,,,260,9,EDISON PARK,41,16
610010,Friedrich Ludwig Jahn Elementary School,ES,Chicago,IL,60657,Level 2,Strong,72,NDA,NDA,Strong,60,Average,59,NDA,NDA,Average,50,Weak,46,94.70%,19.9,94.70%,23.9,15.2,495,5,NORTH CENTER,32,19
609737,Friedrich W von Steuben Metropolitan Science High School,HS,Chicago,IL,60625,Level 2,Strong,70,Weak,39,Average,42,Average,51,Weak,29,NDA,NDA,NDA,NDA,87.00%,4,95.60%,,,1636,13,NORTH PARK,39,17
609709,Gage Park High School,HS,Chicago,IL,60629,Level 3,Very Weak,14,Average,43,Weak,29,Weak,37,Weak,35,NDA,NDA,NDA,NDA,72.50%,19.5,94.00%,,,1052,63,GAGE PARK,16,8
610009,Galileo Math & Science Scholastic Academy Elementary School,ES,Chicago,IL,60607,Level 1,Strong,65,Average,52,Average,40,Average,42,Weak,33,Average,49,Average,50,95.00%,3.1,97.00%,26.5,22.3,606,28,NEAR WEST SIDE,25,12
610072,Garrett A Morgan Elementary School,ES,Chicago,IL,60620,Level 3,Weak,28,Weak,38,Average,58,Average,55,Weak,36,Average,47,Weak,46,92.00%,10,94.80%,7.9,3.2,237,71,AUBURN GRESHAM,21,6
610293,Genevieve Melody Elementary School,ES,Chicago,IL,60624,Level 3,Strong,61,NDA,NDA,Strong,65,Strong,77,NDA,NDA,NDA,NDA,NDA,NDA,92.10%,26,96.00%,4.2,6.3,315,26,WEST GARFIELD PARK,24,11
609779,George Armstrong International Studies Elementary School,ES,Chicago,IL,60645,Level 1,Average,59,Average,57,Average,59,Strong,64,Average,45,NDA,NDA,NDA,NDA,96.30%,8.1,96.30%,30.4,19.5,1509,2,WEST RIDGE,50,24
610062,George B McClellan Elementary School,ES,Chicago,IL,60609,Level 2,Average,49,NDA,NDA,Weak,33,Average,40,NDA,NDA,Average,53,Average,47,93.20%,7.8,96.00%,22.7,21.3,283,60,BRIDGEPORT,11,9
610196,George B Swift Elementary Specialty School,ES,Chicago,IL,60660,Level 2,Strong,61,Average,53,Strong,62,Strong,60,Average,59,Average,49,Strong,54,96.30%,6,95.80%,25.4,16.2,709,77,EDGEWATER,48,20
609849,George F Cassell Elementary School,ES,Chicago,IL,60655,Level 2,Strong,76,Strong,67,Average,57,Weak,36,Strong,61,Average,52,Weak,46,94.40%,13.8,95.10%,24.9,24.5,358,74,MOUNT GREENWOOD,19,22
609761,George H Corliss High School,HS,Chicago,IL,60628,Level 3,Weak,33,Average,52,Average,40,Average,48,Average,54,NDA,NDA,NDA,NDA,71.30%,23.4,95.20%,,,621,50,PULLMAN,9,5
610305,George Leland Elementary School,ES,Chicago,IL,60644,Level 3,NDA,,Strong,71,NDA,,NDA,,Strong,77,Strong,60,Average,53,92.60%,3.3,94.90%,46.2,20,182,25,AUSTIN,29,15
610048,George Manierre Elementary School,ES,Chicago,IL,60610,Level 3,Average,43,NDA,NDA,Average,49,Average,40,NDA,NDA,Weak,42,Weak,44,91.00%,44,94.80%,4.6,4.7,396,8,NEAR NORTH SIDE,27,18
610139,George M Pullman Elementary School,ES,Chicago,IL,60628,Level 2,Average,59,NDA,NDA,Strong,66,Strong,75,NDA,NDA,Average,50,Average,49,93.50%,14.6,96.20%,14.8,17.8,259,50,PULLMAN,9,5
609795,George Rogers Clark Elementary School,ES,Chicago,IL,60644,Level 1,Weak,39,NDA,NDA,Weak,32,Weak,36,NDA,NDA,Average,47,Average,51,93.90%,14.4,96.40%,22,15.3,297,25,AUSTIN,29,15
609760,George Washington Carver Military Academy High School,HS,Chicago,IL,60627,Level 2,Average,53,NDA,NDA,Weak,37,Weak,34,NDA,NDA,NDA,NDA,NDA,NDA,91.60%,8.9,96.40%,,,532,54,RIVERDALE,9,5
609845,George Washington Carver Primary School,ES,Chicago,IL,60827,Level 3,Weak,25,NDA,NDA,Weak,33,Weak,30,NDA,NDA,Average,52,Strong,57,90.90%,15.6,94.70%,9.4,8,546,54,RIVERDALE,9,5
610219,George Washington Elementary School,ES,Chicago,IL,60617,Level 1,Average,58,Strong,61,Weak,33,Average,43,Strong,76,Average,52,Average,51,95.50%,5.6,95.90%,30.4,24.7,813,52,EAST SIDE,10,4
609739,George Washington High School,HS,Chicago,IL,60617,Level 2,Average,46,Average,53,Weak,36,Weak,36,Average,46,NDA,NDA,NDA,NDA,80.20%,12.7,95.10%,,,1524,52,EAST SIDE,10,4
609900,George W Curtis Elementary School,ES,Chicago,IL,60628,Level 3,Weak,23,NDA,NDA,Average,43,Average,58,NDA,NDA,Strong,68,Strong,70,93.80%,18.2,98.10%,10.1,3.8,504,49,ROSELAND,9,5
609693,George Westinghouse High School,HS,Chicago,IL,60624,Not Enough Data,Strong,74,Strong,72,Strong,77,Very Strong,80,Strong,71,Strong,54,Strong,60,93.60%,2,96.80%,,,828,23,HUMBOLDT PARK,28,11
610202,George W Tilton Elementary School,ES,Chicago,IL,60624,Level 3,Very Weak,6,Weak,25,Weak,30,Average,41,Average,44,Average,51,Average,49,91.40%,65.5,95.10%,10,3.5,321,26,WEST GARFIELD PARK,28,11
609920,Gerald Delgado Kanoon Elementary Magnet School,ES,Chicago,IL,60623,Level 3,Average,44,Weak,37,Average,48,Average,48,Average,43,Average,47,Average,49,95.90%,3.3,95.60%,8,6.6,713,30,SOUTH LAWNDALE,24,10
610187,Graeme Stewart Elementary School,ES,Chicago,IL,60640,Level 2,Average,49,NDA,NDA,Average,46,Average,57,NDA,NDA,Average,47,Average,52,95.20%,77,96.10%,11.9,9.7,280,3,UPTOWN,46,19
610285,Granville T Woods Math & Science Academy Elementary School,ES,Chicago,IL,60636,Level 2,Weak,35,NDA,NDA,Average,43,Weak,31,NDA,NDA,Average,48,Average,49,91.90%,41.5,95.20%,11.1,6.5,402,67,WEST ENGLEWOOD,16,7
610383,Greater Lawndale High School For Social Justice,HS,Chicago,IL,60623,Level 3,Average,43,Strong,72,Average,46,Average,44,Strong,65,Average,53,Weak,46,87.50%,16.4,95.10%,,,371,30,SOUTH LAWNDALE,22,10
609857,Grover Cleveland Elementary School,ES,Chicago,IL,60618,Level 1,Strong,64,Average,43,Average,58,Average,47,Average,44,Average,49,Average,48,95.00%,6.1,96.30%,23.4,15.8,688,16,IRVING PARK,33,17
610241,Guglielmo Marconi Elementary Community Academy,ES,Chicago,IL,60624,Level 3,Weak,26,NDA,NDA,Strong,65,Strong,76,NDA,NDA,Average,52,Average,52,91.50%,58.8,96.50%,4,7.3,245,26,WEST GARFIELD PARK,28,11
609741,Gurdon S Hubbard High School,HS,Chicago,IL,60629,Level 2,Average,42,NDA,NDA,Weak,34,Weak,29,NDA,NDA,NDA,NDA,NDA,NDA,89.30%,4.3,96.40%,,,1672,65,WEST LAWN,13,8
609726,Gwendolyn Brooks College Preparatory Academy High School,HS,Chicago,IL,60628,Level 1,Strong,64,NDA,NDA,Average,44,Average,49,NDA,NDA,Average,47,Average,49,87.10%,0.1,95.20%,,,783,49,ROSELAND,9,5
610182,Hannah G Solomon Elementary School,ES,Chicago,IL,60659,Level 1,Strong,78,Very Strong,96,Strong,67,Strong,62,Strong,62,Average,52,Average,51,95.80%,0.8,95.70%,52.4,42.8,363,13,NORTH PARK,39,17
610068,Hanson Park Elementary School,ES,Chicago,IL,60639,Level 2,Weak,35,NDA,NDA,Weak,34,Weak,33,NDA,NDA,Average,50,Average,47,95.00%,24.4,94.90%,14.4,11,1499,19,BELMONT CRAGIN,37,25
610124,Harold Washington Elementary School,ES,Chicago,IL,60619,Level 2,Weak,28,NDA,NDA,Average,45,Strong,63,NDA,NDA,Average,47,Average,49,96.10%,3.1,96.20%,16,13.1,549,47,BURNSIDE,8,4
610192,Harriet Beecher Stowe Elementary School,ES,Chicago,IL,60647,Level 3,Weak,28,NDA,NDA,Weak,26,Weak,31,NDA,NDA,Weak,44,Strong,54,93.80%,13.7,94.70%,3.1,2.5,893,23,HUMBOLDT PARK,26,14
610158,Harriet E Sayre Elementary Language Academy,ES,Chicago,IL,60707,Level 2,Strong,68,NDA,NDA,Average,41,Average,50,NDA,NDA,Weak,44,Average,49,96.20%,2.6,96.60%,19.6,17.3,605,25,AUSTIN,36,25
609974,Hawthorne Elementary Scholastic Academy,ES,Chicago,IL,60657,Level 1,Very Strong,92,Very Strong,88,Strong,61,Average,56,Very Strong,84,Strong,58,Average,52,96.90%,1.2,96.50%,75.1,66,569,6,LAKE VIEW,44,19
609985,Helen M Hefferan Elementary School,ES,Chicago,IL,60624,Level 2,Weak,29,Weak,39,Weak,26,Strong,63,Average,52,Average,51,Strong,56,93.80%,13.4,95.90%,25.6,19.2,259,26,WEST GARFIELD PARK,28,11
610122,Helen Peirce International Studies Elementary School,ES,Chicago,IL,60660,Level 2,Average,58,NDA,NDA,Weak,32,Weak,22,NDA,NDA,Average,47,Average,47,96.70%,5.8,95.80%,25.5,20.5,977,77,EDGEWATER,48,20
609972,Helge A Haugan Elementary School,ES,Chicago,IL,60625,Level 2,Average,43,Weak,39,Average,57,Average,49,Weak,30,Weak,46,Average,51,96.20%,23.4,94.60%,15.2,10.2,1299,14,ALBANY PARK,39,17
609856,Henry Clay Elementary School,ES,Chicago,IL,60633,Level 2,Weak,38,Weak,39,Weak,30,Weak,30,Weak,31,NDA,NDA,NDA,NDA,95.20%,6,96.10%,17.1,12.3,633,55,HEGEWISCH,10,4
610040,Henry D Lloyd Elementary School,ES,Chicago,IL,60639,Level 3,NDA,,NDA,NDA,NDA,,NDA,,NDA,NDA,Average,48,Average,51,96.20%,0,97.20%,23.5,10.5,1334,19,BELMONT CRAGIN,31,25
610092,Henry H Nash Elementary School,ES,Chicago,IL,60644,Level 3,Average,41,NDA,NDA,Strong,68,Strong,76,NDA,NDA,NDA,NDA,NDA,NDA,95.10%,27.9,95.80%,7.1,6,393,25,AUSTIN,28,15
610279,Henry O Tanner Elementary School,ES,Chicago,IL,60619,Level 3,Weak,33,NDA,NDA,Average,42,Average,55,NDA,NDA,NDA,NDA,NDA,NDA,91.80%,43.1,95.60%,6.9,4.6,448,69,GREATER GRAND CROSSING,6,3
609861,Henry R Clissold Elementary School,ES,Chicago,IL,60643,Level 2,Average,45,Strong,61,Weak,39,Strong,61,Average,51,Average,52,Weak,46,95.10%,8.4,96.90%,27.7,26.7,588,75,MORGAN PARK,19,22
610297,High School of Leadership at South Shore,HS,Chicago,IL,60649,Level 3,NDA,,Weak,30,NDA,,NDA,,Weak,28,Weak,42,Weak,31,72.00%,43.4,95.20%,,,731,43,SOUTH SHORE,8,4
609798,Hiram H Belding Elementary School,ES,Chicago,IL,60641,Level 2,Strong,64,Strong,63,Strong,67,Strong,69,Average,51,Average,53,Average,52,95.00%,21.3,96.20%,27.3,21.4,672,16,IRVING PARK,38,17
609768,Hope College Preparatory High School,HS,Chicago,IL,60621,Level 3,Weak,31,Average,51,Weak,37,Average,44,Weak,35,NDA,NDA,NDA,NDA,72.20%,24,94.30%,,,561,68,ENGLEWOOD,3,7
609850,Horace Greeley Elementary School,ES,Chicago,IL,60613,Level 1,Strong,65,NDA,NDA,Average,48,Weak,38,NDA,NDA,Average,52,Average,52,95.90%,6,96.00%,26.9,16.3,611,6,LAKE VIEW,46,19
610052,Horace Mann Elementary School,ES,Chicago,IL,60617,Level 3,Weak,28,Weak,31,Weak,31,Weak,30,Weak,24,Weak,44,Weak,46,92.60%,44.4,94.50%,3.4,3.4,472,46,SOUTH CHICAGO,8,4
610058,Horatio May Elementary Community Academy,ES,Chicago,IL,60644,Level 3,Average,42,NDA,NDA,Average,47,Average,56,NDA,NDA,NDA,NDA,NDA,NDA,91.90%,40,96.40%,9.4,5.6,458,25,AUSTIN,29,15
609713,Hyde Park Academy High School,HS,Chicago,IL,60637,Level 3,Weak,29,Weak,39,Weak,34,Average,43,Average,41,NDA,NDA,NDA,NDA,70.50%,18.5,94.20%,,,1518,42,WOODLAWN,5,3
610390,Hyman G Rickover Naval Academy High School,HS,Chicago,IL,60660,Level 2,Strong,64,NDA,NDA,Strong,64,Average,42,NDA,NDA,Average,53,Average,48,92.90%,15.4,95.90%,,,423,77,EDGEWATER,48,20
610110,Ida B Wells Preparatory Elementary Academy,ES,Chicago,IL,60653,Level 3,Average,49,NDA,NDA,Strong,64,Very Strong,93,NDA,NDA,NDA,NDA,NDA,NDA,93.20%,9.5,92.80%,15.3,10.1,215,35,DOUGLAS,3,2
610273,Ignance Paderewski Elementary Learning Academy,ES,Chicago,IL,60623,Level 3,Weak,31,NDA,NDA,Strong,63,Very Strong,98,NDA,NDA,Weak,46,Average,47,92.10%,20.9,95.20%,2,2,130,30,SOUTH LAWNDALE,22,10
